datetime,wind_speed,value
2010102714,6.7,90
2010102715,6.4,82
2010102716,6.1,82
2010102717,6.6,78
2010102718,6.7,83
2010102719,6.7,91
2010102720,6.6,91
2010102721,6.5,104
2010102722,6.4,107
2010102723,6.2,106
201010280,6,106
201010281,5.7,92
201010282,5.4,82
201010283,5.1,75
201010284,4.9,75
201010285,4.6,73
201010286,4.4,80
201010287,4.2,90
201010288,4.2,90
201010289,3.9,109
2010102810,3.9,116
2010102811,3.9,118
2010102812,4,118
2010102813,4,108
2010102814,4.2,98
2010102815,4.2,88
2010102816,4.5,88
2010102817,4.8,79
2010102818,5.3,81
2010102819,5.7,87
2010102820,6.1,87
2010102821,6.5,100
2010102822,6.8,105
2010102823,7.3,107
201010290,7.4,107
201010291,7.8,98
201010292,8,89
201010293,8.2,80
201010294,8.2,80
201010295,8.3,74
201010296,8.2,77
201010297,8.3,84
201010298,8.3,84
201010299,8.1,102
2010102910,8,112
2010102911,7.8,117
2010102912,7.8,117
2010102913,7.8,113
2010102914,7.9,104
2010102915,8,94
2010102916,8.1,94
2010102917,8.2,81
2010102918,8.2,80
2010102919,8.3,83
2010102920,8.2,83
2010102921,8.1,95
2010102922,7.9,102
2010102923,7.7,108
201010300,7.5,108
201010301,7.2,109
